company name ,naic #,year,adverse decisions company total,adverse decisions by carrier percent,adverse decisions inpatient hospital services number ,adverse decisions inpatient hospital services percent total,adverse decisions emergency room services number ,adverse decisions emergency room services percent total,adverse decisions mental health services number ,adverse decisions mental health services percent total ,adverse decisions physician services number ,adverse decisions physician services percent  total ,"adverse decisions laboratory, radiology services number","adverse decisions laboratory, radiology services percent  total ",adverse decisions pharmacy services number ,adverse decisions pharmacy services percent total ,"adverse decisions pt, ot, st services (incl inpat rehab) number ","adverse decisions pt, ot, st services (incl inpat rehab) percent  total  ",adverse decisions skilled nurse faculty sub acute nursing home number ,adverse decisions skilled nurse faculty sub acute nursing home percent  total ,adverse decisions durable medical equipment services number,adverse decisions durable medical equipment services percent  total ,adverse decisions dental number ,adverse decisions dental percent total ,adverse decisions home health services number ,adverse decisions home health services percent total ,"adverse decisions obesity, ivf, podiatry, hearing and vision number ","adverse decisions obesity, ivf, podiatry, hearing and vision percent  total ",grievances filed company total,grievances filed percent of all companies,grievance inpatient hospital services number ,grievance inpatient hospital services percent  total ,grievance emergency room services number ,grievance emergency room services percent total,grievance mental health services number ,grievance mental health services percent total ,grievance physician services number ,grievance physician services percent total ,"grievance laboratory, radiology services number","grievance laboratory, radiology services percent total ",grievance pharmacy services number ,grievance pharmacy services percent total ,"grievance pt, ot, st services (incl inpat rehab) number ","grievance pt, ot, st services (incl inpat rehab) percent total  ",grievance skilled nurse faculty sub acute nursing home number ,grievance skilled nurse faculty sub acute nursing home percent total ,grievance durable medical equipment services number,grievance durable medical equipment services percent total ,grievance dental number ,grievance dental percent total ,grievance home health services number ,grievance home health services percent total ,"grievance obesity, ivf, podiatry, hearing and vision number ","grievance obesity, ivf, podiatry, hearing and vision percent total ",grievances upheld number,grievances upheld percent total,grievances overturned number ,grievances overturned percent total,grievances modified number ,grievances modified percent total ,hospital length of stay total,hospital length of stay outcome ,grievances upheld number for hospital los,grievances upheld percent for hospital los,grievances overturned number for hospital los,grievances overturned percent for hospital los,grievances modified number for hospital los,grievances modified percent for hospital los,emergency cases - resolution hours 1 st quarter* ,emergency cases - resolution hours 2nd quarter* ,emergency cases - resolution hours 3rd  quarter* ,emergency cases - resolution hours 4th quarter* ,non-emergency cases - resolution days 1st quarter,non-emergency cases - resolution days 2nd quarter,non-emergency cases - resolution days 3rd quarter, non-emergency cases - resolution days 4th quarter,"total number of ""emergencies"" cases",emergencies outcome,internal emergency grievances upheld number,internal emergency grievances upheld percent ,internal emergency grievances overturned number,internal emergency grievances overturned percent ,internal emergency grievances modified number ,internal emergency grievances modified percent ,complaints investigated total ,complaints investigated percent ,carrier upheld by mia number ,carrier upheld by mia percent ,carrier reversed by mia number,carrier reversed by mia percent ,carrier modified by mia number ,carrier modified by mia percent ,carrier reversed itself during investigation number ,carrier reversed itself during investigation percent 
Starmount Life Insurance Company,68985,2021,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0,0,0,0,25,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0,0,0,0,20,0.526,5,0.2,0,0,,,,,,,,,,,,,5,20,30,28,,,,,,,,,,,,,,,,,,
Sun Life Assurance Company of Canada,80802,2021,709,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,709,1,0,0,0,0,38,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1,0,0,0,0,20,0.526,15,0.395,3,0.079,,,,,,,,,,,,,30,12.3,12,7,,,,,,,,,,,,,,,,,,
United Concordia Insurance Company,85766,2021,725,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,725,1,0,0,0,0,301,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,1,0,0,0,0,79,0.262,158,0.525,64,0.213,,,,,,,,,,,,,6.7,7.3,7.2,7.8,,,,,,,,,,,,,,,,,,
United of Omaha Life Insurance Company,69868,2021,89,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,1,0,0,0,0,37,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1,0,0,0,0,8,0.216,29,0.784,0,0,,,,,,,,,,,,,4.4,3.2,5.6,4,,,,,,,,,,,,,,,,,,
UnitedHealthcare Insurance Company,79413,2021,15630,0.193,447,0.029,4,0,56,0.004,1296,0.083,3466,0.222,4597,0.294,42,0.003,9,0.001,122,0.008,5263,0.337,13,0.001,315,0.02,1151,0.143,10,0.009,0,0,10,0.009,106,0.092,302,0.262,413,0.359,3,0.3,1,0.1,0,0,154,0.134,0,0,132,0.115,431,0.39,647,0.585,28,0.025,2,2,2,1,0,0,0,0,22,42,20,43,38,37,35,33,189,168,52,0.31,112,0.667,4,0.024,68,0.22,18,0.26,10,0.15,2,0.03,37,0.54
"UnitedHealthcare of the Mid-Atlantic, Inc.",95025,2021,1547,0.019,39,0.025,3,0.002,7,0.005,357,0.231,530,0.343,554,0.358,4,0.003,0,0,16,0.01,9,0.006,4,0.003,24,0.016,54,0.007,1,0.019,0,0,0,0,5,0.093,19,0.352,24,0.444,0,0,0,0,0,0,0,0,0,0,5,0.093,14,0.259,37,0.685,3,0.056,,,,,,,,,29,28,17,12,32,33,29,40,11,11,0,0,10,0.909,1,0.091,5,0.01,2,0.4,0,0,0,0,3,0.6
Wellfleet Group LLC,,2021,67,0.001,10,0.149,1,0.015,1,0.015,10,0.149,11,0.164,23,0.343,9,0.134,0,0,0,0,0,0,0,0,2,0.03,15,0.002,2,0.133,0,0,0,0,0,0,2,0.133,11,0.733,0,0,0,0,0,0,0,0,0,0,0,0,6,0.357,9,0.643,0,0,1,1,0,0,1,1,0,0,0,0,24,0,33,10,10,0,,,,,,,,,,,,,,,,,,
Wellfleet Insurance Company,32280,2021,18,0,0,0,0,0,1,0.056,0,0,8,0.444,1,0.056,8,0.444,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,,,,,,,,,,,0,0,0,8,,,,,,,,,,,,,,,,,,
Total,,2021,81143,1.001,1092,0.013,10,0,570,0.007,4589,0.057,14673,0.181,38893,0.479,3720,0.046,25,0,1364,0.017,15134,0.187,143,0.002,825,0.01,8073,1.002,105,0.013,20,0.002,71,0.009,452,0.056,808,0.1,3716,0.46,77,0.01,5,0.00062,123,0.015,2375,0.294,3,0,182,0.023,3516,0.436,4090,0.507,382,0.047,41,18,12,0.667,5,0.2778,1,0.056,660.1,527.4,494.8,213.3,620.2,729.9,719.5,832.9,1315,608,186,0.306,416,0.684,6,0.01,308,1,90,0.292,68,0.221,5,0.016,144,0.468
4 Ever Life Insurance Company,80985,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.001,0,0,1,0.111,0,0,5,0.556,1,0.111,2,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,,,,,,,,,,,,,7,32,0,0,,,,,,,,,,,,,,,,,,
"Aetna Dental, Inc.", ,2022,672,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,672,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aetna Health Inc. ( a Pennsylvania corporation ),95109,2022,116,0.001,43,0.371,0,0,15,0.129,27,0.233,0,0,0,0,0,0,0,0,0,0,0,0,2,0.017,2,0.017,240,0.022,17,0.071,12,0.05,0,0,97,0.404,55,0.229,55,0.229,1,0.004,0,0,1,0.004,0,0,0,0,2,0.008,126,0.525,109,0.454,5,0.021,,,,,,,,,,,,,18.2,20.9,23.8,21.2,,,,,,,,,1,0,1,1,0,0,0,0,0,0
Aetna Health Insurance Company,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.01,3,0.75,1,0.25,0,0,0,0
Aetna Life Insurance Company,60054,2022,284,0.003,102,0.359,0,0,32,0.113,94,0.331,12,0.042,27,0.233,0,0,0,0,0,0,0,0,4,0.014,4,0.014,183,0.017,10,0.055,11,0.06,0,0,66,0.361,44,0.24,38,0.208,0,0,0,0,1,0.005,4,0.022,1,0.005,8,0.044,102,0.557,78,0.426,3,0.016,,,,,,,,,,,,,19.2,22.7,22.7,24.8,,,,,,,,,6,0.02,2,0.33,1,0.17,0,0,3,0.5
"Alpha Dental Programs, Inc.",95183,2022,5,0,0,0,0,0,0,0,0,0,0,0,36,0.127,0,0,0,0,0,0,5,1,0,0,0,0,157,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,1,0,0,0,0,98,0.624,43,0.274,16,0.102,,,,,,,,,,,,,43.8,41.1,49,74.5,,,,,,,,,,,,,,,,,,
Ameritas Life Insurance Corp.,61301,2022,454,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454,1,0,0,0,0,181,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,1,0,0,0,0,104,0.575,62,0.343,15,0.083,,,,,,,,,,,,,32,33,28,28,,,,,,,,,1,0,0,0,0,0,0,0,1,1
"CareFirst BlueChoice, Inc.",96202,2022,25416,0.267,9,0,7,0,347,0.014,1063,0.042,4284,0.169,19065,0.75,65,0.003,5,0,537,0.021,8,0,12,0,14,0.001,2087,0.194,4,0.002,1,0,1,0,64,0.031,264,0.126,1600,0.767,10,0.005,1,0,140,0.067,1,0,0,0.002,1,0,1001,0.48,1083,0.519,3,0.001,3,1,1,1,0,0,0,0,24,24,24,24,16.4,16.9,21.7,21.7,185,185,88,0.476,97,0.524,0,0,89,0.28,21,0.24,31,0.35,0,0,37,0.42
"CareFirst of Maryland, Inc.",47058,2022,9684,0.1,0,0,1,0,64,0.007,140,0.014,407,0.042,8004,0.827,31,0.003,1,0,126,0.013,903,0.093,1,0,6,0.001,1068,0.099,0,0,0,0,0,0,3,0.003,26,0.024,968,0.906,0,0,0,0,4,0.004,67,0.063,0,0,0,0,412,0.386,654,0.612,2,0.002,,,,,,,,,24,24,24,24,12.8,14.2,22,22,322,64,26,0.406,38,0.594,0,0,79,0.25,21,0.27,34,0.43,0,0,24,0.3
CaremarkPCS Health L.L.C.,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.01,1,0.33,1,0.33,0,0,1,0.33
Chesapeake Life Insurance Company,61832,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CIGNA Dental Health of Maryland, Inc.",48119,2022,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIGNA Health and Life Insurance Company,67369,2022,17818,0.187,294,0.017,93,0.005,85,0.005,867,0.049,4946,0.278,7623,0.428,3568,0.2,4,0,29,0.002,247,0.014,42,0.002,20,0.001,667,0.062,17,0.025,0,0,27,0.04,77,0.115,212,0.318,264,0.396,21,0.031,0,0,0,0,48,0.072,0,0,1,0.001,327,0.49,328,0.492,12,0.018,17,4,1,0.25,3,0.75,0,0,19.6,16.1,27.1,31.3,27.1,26.3,30.1,41.5,46,31,16,0.516,13,0.419,2,0.065,10,0.03,4,0.4,3,0.3,0,0,3,0.3
Connecticut General Life Insurance Company,,2022,8,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta Dental Insurance Company,81396,2022,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,105,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,1,0,0,0,0,73,0.695,29,0.276,3,0.029,,,,,,,,,,,,,33.6,41.4,39.5,48,,,,,,,,,1,0,0,0,0,0,0,0,1,1
Delta Dental of Pennsylvania,54798,2022,67,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,1,0,0,0,0,642,0.062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642,1,0,0,0,0,444,0.692,181,0.282,17,0.026,,,,,,,,,,,,,35.5,35.3,42.7,58.7,,,,,,,,,2,0.01,1,0.5,0,0,0,0,1,0.5
Dentegra Insurance Company,73474,2022,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,65,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1,0,0,0,0,48,0.738,16,0.246,1,0.015,,,,,,,,,,,,,35.8,34.3,42.1,72,,,,,,,,,,,,,,,,,,
"Dental Network, Inc. The",52007,2022,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,72,6,0,,,,,,,,,,,,,,,,,,
"Dominion Dental Services, Inc.",95657,2022,2551,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2551,1,0,0,0,0,200,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,1,0,0,0,0,102,0.51,88,0.44,10,0.05,,,,,,,,,,,,,28,52.8,58,75.8,,,,,,,,,2,0.01,1,0.5,0,0,0,0,1,0
Express Scripts Insurance Company,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,0,0,0,0,0.12
Golden Rule Insurance Company,62286,2022,14,0,2,0.143,0,0,0,0,5,0.357,7,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.001,0,0,0,0,0,0,1,0.167,4,0.667,1,0.167,0,0,0,0,0,0,0,0,0,0,0,0,3,0.5,2,0.333,1,0.167,,,,,,,,,,,,,22,30,44,42,,,,,,,,,,,,,,,,,,
"Group Dental Service of Maryland, Inc.",95846,2022,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,21,0.021,54,0.055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Group Hospitalization and Medical Services, Inc.",53007,2022,7604,0.08,3,0,1,0,42,0.006,171,0.022,426,0.056,6344,0.834,8,0.001,0,0,103,0.014,496,0.065,2,0,8,0.001,988,0.092,1,0.001,0,0,0,0,0,0,0,0,789,0.799,0,0,0,0,22,0.022,99,0.1,1,0.001,1,0.001,399,0.404,585,0.592,4,0.004,,,,,,,,,24,24,24,24,12.8,19.1,31.8,33.5,296,65,27,0.415,38,0.585,0,0,17,0.05,9,0.53,6,0.35,0,0,0,0.12
Guardian Life Insurance Company of America,64246,2022,1535,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1535,1,0,0,0,0,938,0.087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,938,1,0,0,0,0,502,0.535,180,0.192,256,0.273,,,,,,,,,,,,,3,3,3,3,,,,,,,,,12,0.04,5,0.42,0,0,0,0,2,0.12
Independence American Insurance Company,26581,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,1,0.5,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,,,,,,,,,,,,,1,7,0,0,,,,,,,,,,,,,,,,,,
Johns Hopkins HealthCare LLC,,2022,79,0.001,26,0.329,0,0,0,0,9,0.114,0,0,0,0,0,0,0,0,5,0.063,0,0,0,0,39,0.491,73,0.007,28,0.384,2,0.027,3,0.041,7,0.096,15,0.205,18,0.247,0,0,0,0,0,0,0,0,0,0,0,0,35,0.479,35,0.479,3,0.041,27,4,0,0,3,0.75,1,0.25,265,0,0,0,24,19,24,20,,,,,,,,,,,,,,,,,,
"Kaiser Foundation Health Plan-Mid-Atlantic States, Inc.",95639,2022,1432,0.015,298,0.208,0,0,125,0.087,204,0.142,23,0.016,11,0.008,110,0.077,82,0.057,146,0.102,14,0.01,18,0.013,401,0.28,92,0.009,7,0.076,0,0,18,0.196,40,0.435,5,0.054,0,0,8,0.087,3,0.033,6,0.065,0,0,0,0,5,0.054,62,0.674,30,0.326,0,0,,,,,,,,,19.5,53.7,31.8,48,21.8,27.1,26,27,11,11,6,0.545,5,0.455,0,0,11,0.03,6,0.55,0,0,0,0,7,0.58
Kaiser Permanente Insurance Company,60053,2022,42,0,15,0.357,0,0,0,0,8,0.19,14,0.333,0,0,2,0.048,0,0,3,0.071,0,0,0,0,0,0,7,0.001,2,0.286,0,0,0,0,3,0.429,1,0.143,0,0,1,0.143,0,0,0,0,0,0,0,0,0,0,4,0.571,3,0.429,0,0,2,1,1,1,0,0,0,0,,,,,1.7,2.3,1.6,1.6,,,,,,,,,,,,,,,,,,
"Lincoln National Life Insurance Company, The",,2022,98,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAMSI Life and Health Insurance Company,60321,2022,1229,0.013,9,0.007,0,0,1,0.001,134,0.109,93,0.076,905,0.736,2,0.002,0,0,22,0.018,44,0.036,2,0.002,17,0.014,88,0.008,0,0,0,0,1,0.011,4,0.045,12,0.136,54,0.614,4,0.045,0,0,3,0.034,0,0,0,0,10,0.114,52,0.591,34,0.386,2,0.023,,,,,,,,,13,12,47,55,34,43,32,31,25,25,12,0.48,13,0.52,0,0,1,0,0,0,4,4,0,0,5,0.45
Metropolitan Life Insurance Company,65978,2022,528,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,528,1,0,0,0,0,29,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1,0,0,0,0,26,0.897,0,0,3,0.103,,,,,,,,,,,,,13.7,20.4,18.4,14.5,,,,,,,,,,,,,,,,,,
National Health Life Insurance Company,82538,2022,2,0,1,0.5,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,0,0,,,,,,,,,,,,,,,,,,
"Optimum Choice, Inc.",96940,2022,3056,0.032,114,0.037,3,0.001,0,0,212,0.069,351,0.115,2122,0.694,20,0.007,0,0,28,0.009,110,0.036,4,0.001,92,0.03,489,0.045,5,0.01,3,0.006,0,0,73,0.149,81,0.166,159,0.325,5,0.01,1,0.002,2,0.004,0,0,4,0.008,156,0.319,261,0.534,220,0.45,8,0.016,,,,,,,,,14,13,32,34,34,35,63,50,62,62,24,0.387,38,0.613,0,0,6,0.02,0,0,0,0,0,0,0,0
Principal Life Insurance Company,61271,2022,752,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,752,1,0,0,0,0,35,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1,0,0,0,0,27,0.771,6,0.171,2,0.057,,,,,,,,,,,,,12,15.3,15.8,10.2,,,,,,,,,,,,,,,,,,
Prudential Insurance Company of America,68241,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reliance Standard Life Insurance Company,68381,2022,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,3,1,0,0,0,0,,,,,,,,,,,,,0,0,0,28,,,,,,,,,,,,,,,,,,
Standard Insurance Company,69019,2022,118,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,1,0,0,0,0,27,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0,0,0,0,13,0.481,13,0.481,1,0.037,,,,,,,,,,,,,27,17,19,23,,,,,,,,,,,,,,,,,,
Starmount Life Insurance Company,68985,2022,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,15,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,11,0.733,4,0.267,0,0,,,,,,,,,,,,,15,23,14,0,,,,,,,,,,,,,,,,,,
Sun Life Assurance Company of Canada,80802,2022,545,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,545,1,0,0,0,0,47,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,1,0,0,0,0,25,0.532,15,0.652,7,0.149,,,,,,,,,,,,,8,8,14,15,,,,,,,,,,,,,,,,,,
United Concordia Insurance Company,85766,2022,576,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,1,0,0,0,0,253,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,1,0,0,0,0,8,0.348,15,0.652,0,0,,,,,,,,,,,,,4.2,7.5,5.4,9.8,,,,,,,,,1,0,0,0,14,14,0,0,2,0.33
United of Omaha Life Insurance Company,69868,2022,208,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,1,0,0,0,0,23,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,0,0,0,99,0.391,141,0.557,13,0.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UnitedHealthcare Insurance Company,79413,2022,16264,0.171,485,0.03,7,0,59,0.004,1189,0.073,2981,0.183,6032,0,26,0.002,6,0,149,0.009,5030,0.309,9,0.001,291,0.018,1500,0.139,7,0.005,0,0,17,0.011,72,0.048,486,0.324,483,0.322,13,0.009,1,0.015,36,0.024,230,0.153,0,0,156,0.104,541,0.361,913,0.609,46,0.031,1,1,1,1,0,0,0,0,22,18,22,39,35,36,38,0,237,217,54,0.249,160,0.737,3,0.014,67,0.21,14,0.21,0,0,0,0,39,0.58
"UnitedHealthcare of the Mid-Atlantic, Inc.",95025,2022,3833,0.04,18,0.005,0,0,0,0,409,0.107,950,0.248,2416,0,4,0.001,1,0,13,0.003,9,0.002,0,0,13,0.003,65,0.006,0,0,0,0,1,0.015,7,0.108,24,0.369,26,0.4,0,0,0,0,1,0.015,0,0,0,0,5,0.077,27,0.415,36,0.554,2,0.031,,,,,,,,,13,13,174,19,26,32,37,36,14,12,6,0.5,5,0.417,1,0.083,3,0.01,2,0.67,2,0.67,0,0,1,0.33
Wellfleet Group LLC,,2022,183,0.002,35,0.191,0,0,1,0.005,10,0.055,3,0.016,84,0,49,0.268,0,0,0,0,0,0,1,0.005,0,0,20,0.002,4,0.2,0,0,1,0.05,4,0.2,0,0,11,0.55,0,0,0,0,0,0,0,0,0,0,0,0,8,0.4,12,0.6,0,0,,,,,,,,,,,,,5,10,31,29,,,,,,,,,,,,,,,,,,
Wellfleet Insurance Company,32280,2022,59,0.001,1,0.017,0,0,0,0,2,0.034,21,0.356,5,0,30,0.508,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,,,,,,,,,,,,15,0,0,0,,,,,,,,,,,,,,,,,,
Total,,2022,95327,0.999,1455,0.015,112,0.001,771,0.008,4545,0.048,14526,0.152,52674,0.553,3915,0.041,99,0.001,1161,0.012,15065,0.158,97,0.001,907,0.01,10305,0.961,102,0.01,30,0.003,69,0.007,545,0.053,1284,0.125,4469,0.434,64,0.006,6,0.00058,216,0.021,3169,0.308,6,0.001,345,0.033,4944,0.48,4926,0.478,435,0.042,50,11,4,0.364,6,0.5455,1,0.091,438.1,197.8,405.9,298.3,624.6,805.6,803.6,861.8,1198,672,259,0.385,407,0.606,6,0.009,317,0.98,92,0.29,97,0.306,0,0,128,0.404
"Aetna Dental, Inc.",,2023,526,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aetna Health Inc. ( a Pennsylvania corporation ),95109,2023,152,0.001,59,0.388,0,0,6,0.039,54,0.355,0,0,14,0.092,3,0.02,5,0.033,0,0,0,0,1,0.007,10,0.066,246,0.023,15,0.061,5,0.02,4,0.016,91,0.37,49,0.199,79,0.321,1,0.004,1,0.004,1,0.004,0,0,0,0,0,0,122,0.496,116,0.472,8,0.033,,,,,,,,,,,,,19.2,21.6,23,18.1,,,,,,,,,1,0,1,1,0,0,0,0,0,0
Aetna Health Insurance Company,,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.01,0,0,0,0,0,0,3,1
Aetna Life Insurance Company,60054,2023,310,0.002,147,0.474,0,0,10,0.032,64,0.206,9,0.029,29,0.094,4,0.013,12,0.039,3,0.01,0,0,3,0.01,29,0.094,279,0.026,30,0.108,12,0.043,5,0.018,84,0.301,47,0.168,77,0.276,14,0.05,0,0,0,0,4,0.014,0,0,6,0.022,176,0.631,96,0.344,7,0.025,,,,,,,,,,,,,21.3,22.7,23,19.7,,,,,,,,,6,0.02,1,0.17,1,0.17,1,17&,3,0.5
"Alpha Dental Programs, Inc.",,2023,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ameritas Life Insurance Corp.,61301,2023,432,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,1,0,0,0,0,282,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,1,0,0,0,0,151,0.535,94,0.333,37,0.131,,,,,,,,,,,,,26,21,16,13,,,,,,,,,,,,,,,,,,
"CareFirst BlueChoice, Inc.",96202,2023,30314,0.211,24,0.001,9,0,222,0.007,1029,0.034,6118,0.202,22110,0.729,88,0.003,13,0,662,0.022,7,0,13,0,19,0.001,2955,0.279,17,0.006,5,0.002,1,0,156,0.053,418,0.141,2198,0.744,12,0.004,19,0.006,119,0.04,4,0.001,1,0,5,0.002,1306,0.442,1647,0.557,2,0.001,19,7,5,0.714,2,0.286,0,0,24,24,24,24,29.9,21,18.2,21,253,114,46,0.404,68,0.596,0,0,125,0.39,46,0.37,40,0.32,0,0,39,0.31
