"year","company_name","service","adverse_decisions","grievance"
2021,"Ameritas Life Insurance Corp.","physician services",0,0
2021,"Ameritas Life Insurance Corp.","laboratory radiology services",0,0
2021,"Ameritas Life Insurance Corp.","pharmacy services",0,0
2021,"Ameritas Life Insurance Corp.","pt ot st services incl inpat rehab ",0,0
2021,"Ameritas Life Insurance Corp.","skilled nurse facility sub acute nursing home",0,0
2021,"Ameritas Life Insurance Corp.","durable medical equipment services",0,0
2021,"Ameritas Life Insurance Corp.","dental",285,134
2021,"Ameritas Life Insurance Corp.","home health services",0,0
2021,"Ameritas Life Insurance Corp.","obesity ivf podiatry hearing and vision",0,0
2021,"Ameritas Life Insurance Corp.",NA,NA,NA
2021,"Ameritas Life Insurance Corp.",NA,NA,NA
2021,"Ameritas Life Insurance Corp.",NA,NA,NA
2021,"Ameritas Life Insurance Corp.",NA,NA,NA
2021,"CareFirst BlueChoice, Inc.","inpatient hospital services",12,8
2021,"CareFirst BlueChoice, Inc.","emergency room services",0,2
2021,"CareFirst BlueChoice, Inc.","mental health services",298,8
2021,"CareFirst BlueChoice, Inc.","physician services",1182,38
2021,"CareFirst BlueChoice, Inc.","laboratory radiology services",3015,112
2021,"CareFirst BlueChoice, Inc.","pharmacy services",15727,1476
2021,"CareFirst BlueChoice, Inc.","pt ot st services incl inpat rehab ",85,6
2021,"CareFirst BlueChoice, Inc.","skilled nurse facility sub acute nursing home",6,2
2021,"CareFirst BlueChoice, Inc.","durable medical equipment services",786,83
2021,"CareFirst BlueChoice, Inc.","dental",4,3
2021,"CareFirst BlueChoice, Inc.","home health services",9,0
2021,"CareFirst BlueChoice, Inc.","obesity ivf podiatry hearing and vision",4,0
2021,"CareFirst BlueChoice, Inc.",NA,NA,NA
2021,"CareFirst BlueChoice, Inc.",NA,NA,NA
2021,"CareFirst BlueChoice, Inc.",NA,NA,NA
2021,"CareFirst BlueChoice, Inc.",NA,NA,NA
2021,"CareFirst of Maryland, Inc.","inpatient hospital services",2,0
2021,"CareFirst of Maryland, Inc.","emergency room services",1,0
2021,"CareFirst of Maryland, Inc.","mental health services",31,1
2021,"CareFirst of Maryland, Inc.","physician services",184,6
2021,"CareFirst of Maryland, Inc.","laboratory radiology services",239,16
2021,"CareFirst of Maryland, Inc.","pharmacy services",5810,796
2021,"CareFirst of Maryland, Inc.","pt ot st services incl inpat rehab ",14,0
2021,"CareFirst of Maryland, Inc.","skilled nurse facility sub acute nursing home",2,0
2021,"CareFirst of Maryland, Inc.","durable medical equipment services",111,4
2021,"CareFirst of Maryland, Inc.","dental",659,78
2021,"CareFirst of Maryland, Inc.","home health services",4,0
2021,"CareFirst of Maryland, Inc.","obesity ivf podiatry hearing and vision",0,0
2021,"CareFirst of Maryland, Inc.",NA,NA,NA
2021,"CareFirst of Maryland, Inc.",NA,NA,NA
2021,"CareFirst of Maryland, Inc.",NA,NA,NA
2021,"CareFirst of Maryland, Inc.",NA,NA,NA
2021,"CaremarkPCS Health L.L.C.","inpatient hospital services",NA,NA
2021,"CaremarkPCS Health L.L.C.","emergency room services",NA,NA
2021,"CaremarkPCS Health L.L.C.","mental health services",NA,NA
2021,"CaremarkPCS Health L.L.C.","physician services",NA,NA
2021,"CaremarkPCS Health L.L.C.","laboratory radiology services",NA,NA
2021,"CaremarkPCS Health L.L.C.","pharmacy services",NA,NA
